Bacteria Name,moxi MIC
Bacteroides caccae,3.683962264
Bacteroides fragilis,2.181693476
Bacteroides thetaiotaomicron,3.053133515
Bacteroides vulgatus,5.603111888
Citrobacter freundii,2.3637785019999997
Clostridium perfringens,0.42887931
Enterococcus cloacae,1.4181382980000001
Enterococcus faecalis,17.57975774
Enterococcus faecium,8.090831874
Escherichia coli,6.01519416
Haemophilus influenzae,0.032220004
Haemophilus parainfluenzae,0.14960563400000002
Klebsiella aerogenes,2.303599034
Klebsiella oxytoca,1.20064915
Klebsiella pneumoniae,1.5117392530000002
Listeria monocytogenes,0.564555838
Moraxella catarrhalis,0.071490252
Morganella morganii,2.014658599
Neisseria gonorrhoeae,3.100243902
Proteus mirabilis,1.536181091
Proteus vulgaris,0.619968672
Pseudomonas aeruginosa,14.48292242
Staphylococcus aureus,0.852192177
Staphylococcus epidermidis,13.33502063
Staphylococcus hominis,2.539731343
Staphylococcus lugdunensis,0.28125
Staphylococcus saprophyticus,297.5094869
Staphylococcus warneri,312.47516989999997
Streptococcus agalactiae,88.14313252
Streptococcus intermedius,0.1068
Streptococcus mitis,0.296607774
Streptococcus pneumoniae,4.60535685
Streptococcus pyogenes,21.77748143
Streptococcus viridans,0.18674812
